iter	Passed	Remaining
753	11482	3746
754	11501	3732
755	11519	3717
756	11535	3703
757	11552	3688
758	11570	3674
759	11590	3660
760	11609	3646
761	11626	3631
762	11643	3616
763	11665	3603
764	11685	3589
765	11702	3574
766	11719	3560
767	11737	3545
768	11752	3530
769	11771	3516
770	11787	3501
771	11806	3486
772	11823	3472
773	11840	3457
774	11859	3443
775	11881	3429
776	11901	3415
777	11922	3402
778	11941	3387
779	11958	3373
780	11980	3359
781	12000	3345
782	12017	3330
783	12038	3316
784	12055	3301
785	12072	3286
786	12090	3272
787	12110	3258
788	12128	3243
789	12147	3229
790	12166	3214
791	12187	3200
792	12206	3186
793	12226	3172
794	12244	3157
795	12266	3143
796	12288	3129
797	12308	3115
798	12330	3101
799	12347	3086
800	12366	3072
801	12386	3057
802	12405	3043
803	12422	3028
804	12442	3013
805	12458	2998
806	12480	2984
807	12502	2970
808	12518	2955
809	12535	2940
810	12552	2925
811	12569	2910
812	12586	2895
813	12604	2880
814	12622	2865
815	12639	2850
816	12658	2835
817	12680	2821
818	12698	2806
819	12720	2792
820	12740	2777
821	12757	2762
822	12774	2747
823	12791	2732
824	12811	2717
825	12830	2702
826	12851	2688
827	12868	2673
828	12888	2658
829	12908	2643
830	12931	2629
831	12948	2614
832	12969	2600
833	12986	2584
834	13003	2569
835	13022	2554
836	13040	2539
837	13057	2524
838	13074	2508
839	13095	2494
840	13120	2480
841	13137	2465
842	13155	2450
843	13172	2434
844	13198	2420
845	13216	2405
846	13233	2390
847	13250	2375
848	13270	2360
849	13290	2345
850	13313	2331
851	13334	2316
852	13353	2301
853	13370	2285
854	13388	2270
855	13405	2255
856	13422	2239
857	13440	2224
858	13459	2209
859	13479	2194
860	13496	2178
861	13519	2164
862	13539	2149
863	13556	2133
864	13577	2119
865	13594	2103
866	13614	2088
867	13633	2073
868	13653	2058
869	13670	2042
870	13692	2027
871	13712	2012
872	13734	1998
873	13751	1982
874	13771	1967
875	13788	1951
876	13810	1936
877	13831	1921
878	13851	1906
879	13868	1891
880	13885	1875
881	13903	1860
882	13922	1844
883	13939	1829
884	13960	1814
885	13978	1798
886	13999	1783
887	14018	1768
888	14036	1752
889	14053	1736
890	14075	1721
891	14092	1706
892	14110	1690
893	14128	1675
894	14145	1659
895	14166	1644
896	14183	1628
897	14203	1613
898	14221	1597
899	14243	1582
900	14267	1567
901	14293	1552
902	14317	1538
903	14344	1523
904	14368	1508
905	14387	1492
906	14415	1478
907	14441	1463
908	14465	1448
909	14483	1432
910	14500	1416
911	14517	1400
912	14540	1385
913	14560	1370
914	14578	1354
915	14595	1338
916	14613	1322
917	14633	1307
918	14650	1291
919	14667	1275
920	14685	1259
921	14707	1244
922	14724	1228
923	14741	1212
924	14760	1196
925	14781	1181
926	14801	1165
927	14823	1150
928	14842	1134
929	14863	1118
930	14881	1102
931	14901	1087
932	14924	1071
933	14941	1055
934	14959	1039
935	14975	1023
936	14997	1008
937	15016	992
938	15033	976
939	15055	961
940	15073	945
941	15090	929
942	15111	913
943	15128	897
944	15148	881
945	15167	865
946	15189	850
947	15209	834
948	15227	818
949	15243	802
950	15264	786
951	15281	770
952	15298	754
953	15321	738
954	15338	722
955	15358	706
956	15380	691
957	15397	675
958	15414	659
959	15434	643
960	15451	627
961	15471	611
962	15488	595
963	15505	579
964	15523	563
965	15544	547
966	15564	531
967	15586	515
968	15604	499
969	15624	483
970	15642	467
971	15660	451
972	15677	435
973	15694	418
974	15711	402
975	15728	386
976	15748	370
977	15767	354
978	15790	338
979	15807	322
980	15829	306
981	15849	290
982	15871	274
983	15887	258
984	15908	242
985	15929	226
986	15947	210
987	15973	194
988	15999	177
989	16016	161
990	16038	145
991	16058	129
992	16079	113
993	16096	97
994	16113	80
995	16133	64
996	16153	48
997	16173	32
998	16195	16
999	16212	0
